acceleration_x,acceleration_y,acceleration_z,angular_rotation_x,angular_rotation_y,angular_rotation_z,label
0.18027,-0.044008,0.980046,0.375529,-0.066728,-0.02503,standing still
0.180268,-0.044082,0.980249,0.346322,-0.000248,-0.030062,standing still
0.177213,-0.044895,0.980308,0.360089,-0.221494,-0.035547,standing still
0.178215,-0.044566,0.980309,0.371589,-0.209659,-0.029976,standing still
0.177312,-0.044537,0.980691,0.362376,-0.118446,-0.042166,standing still
0.177781,-0.043245,0.981129,0.363254,0.079104,-0.051018,standing still
0.177527,-0.044301,0.980672,0.378453,-0.414284,-0.00821,standing still
0.177801,-0.043992,0.980488,0.367663,-0.071044,-0.020816,standing still
0.177733,-0.04342,0.980493,0.370879,-0.025954,-0.029399,standing still
0.175469,-0.04409,0.980789,0.382441,-0.068976,-0.02092,standing still
0.178448,-0.045141,0.980293,0.372218,-0.250547,-0.021811,standing still
0.175276,-0.043849,0.980636,0.367162,0.011912,-0.026283,standing still
0.170363,-0.044753,0.980764,0.35344,0.425295,-0.06696,standing still
0.177114,-0.044647,0.980783,0.366527,0.075988,-0.055444,standing still
0.172815,-0.044791,0.981126,0.370385,-0.147987,-0.004219,standing still
0.174208,-0.044379,0.981287,0.371135,-0.158668,-0.025727,standing still
0.173698,-0.045405,0.98072,0.364021,0.090828,-0.037583,standing still
0.173611,-0.044414,0.981148,0.36212,-0.007602,-0.02572,standing still
0.173866,-0.044444,0.981205,0.368655,-0.071181,-0.021917,standing still
0.172798,-0.044225,0.981102,0.352131,-0.14681,-0.028836,standing still
0.173089,-0.044746,0.98118,0.379508,0.180468,-0.038033,standing still
0.172178,-0.046139,0.980517,0.365217,0.311326,-0.033363,standing still
0.16953,-0.044101,0.981426,0.371861,-0.31867,0.001527,standing still
0.170758,-0.044319,0.981608,0.356251,0.029075,-0.027399,standing still
0.170973,-0.04324,0.981425,0.363832,-0.09826,-0.01631,standing still
0.170992,-0.044536,0.981549,0.373468,-0.229906,-0.001581,standing still
0.173197,-0.045076,0.981307,0.371239,-0.141423,-0.022657,standing still
0.171204,-0.045104,0.981334,0.352194,0.124328,-0.072614,standing still
0.172525,-0.043639,0.981327,0.35334,0.26259,-0.056003,standing still
0.169987,-0.044639,0.981391,0.373526,-0.175644,0.00054,standing still
0.170224,-0.044578,0.981443,0.355391,-0.063708,-0.04011,standing still
0.17048,-0.044747,0.981353,0.368847,-0.071026,-0.032556,standing still
0.171325,-0.0444,0.981252,0.369399,-0.147449,-0.02032,standing still
0.171683,-0.044491,0.981319,0.368672,0.027207,-0.027779,standing still
0.171989,-0.044355,0.981116,0.3691,-0.081185,-0.015753,standing still
0.172937,-0.044056,0.981292,0.369726,0.034542,-0.032809,standing still
0.171905,-0.044802,0.980953,0.370246,0.075459,-0.033006,standing still
0.173457,-0.043838,0.981105,0.367483,-0.104927,-0.027733,standing still
0.172068,-0.044347,0.981067,0.372647,-0.141339,-0.023649,standing still
0.172175,-0.044516,0.981234,0.365698,-0.085893,-0.024159,standing still
0.173352,-0.044508,0.981293,0.361547,0.018353,-0.024348,standing still
0.173579,-0.044017,0.981183,0.366773,-0.087554,-0.030657,standing still
0.172646,-0.044567,0.981155,0.374485,-0.14086,-0.023748,standing still
0.172577,-0.04425,0.981098,0.375121,-0.122302,-0.031642,standing still
0.172906,-0.044271,0.981121,0.369258,-0.069382,-0.02026,standing still
0.172996,-0.043566,0.981322,0.362724,-0.049535,-0.025145,standing still
0.173476,-0.044235,0.981207,0.359173,-0.099336,-0.023078,standing still
